geneID1,geneID2,reactionType
CFP56_45155,CFP56_66243,coexpressed_with
CFP56_45155,CFP56_15101,coexpressed_with
CFP56_45155,CFP56_35174,coexpressed_with
CFP56_45155,CFP56_41634,coexpressed_with
CFP56_45155,CFP56_60036,coexpressed_with
CFP56_45155,CFP56_24851,coexpressed_with
CFP56_45155,CFP56_04895,coexpressed_with
CFP56_55510,CFP56_67904,coexpressed_with
CFP56_40559,CFP56_67904,coexpressed_with
CFP56_40559,CFP56_18234,coexpressed_with
CFP56_15457,CFP56_66243,coexpressed_with
CFP56_04887,CFP56_66243,coexpressed_with
CFP56_04887,CFP56_67904,coexpressed_with
CFP56_39226,CFP56_66243,coexpressed_with
CFP56_37705,CFP56_66243,coexpressed_with
CFP56_37705,CFP56_55251,coexpressed_with
CFP56_57155,CFP56_35975,coexpressed_with
CFP56_57155,CFP56_71489,coexpressed_with
CFP56_57155,CFP56_67904,coexpressed_with
CFP56_57155,CFP56_61563,coexpressed_with
CFP56_57155,CFP56_55251,coexpressed_with
CFP56_57155,CFP56_05273,coexpressed_with
CFP56_57155,CFP56_60036,coexpressed_with
CFP56_57155,CFP56_26612,coexpressed_with
CFP56_57155,CFP56_42284,coexpressed_with
CFP56_57155,CFP56_61898,coexpressed_with
CFP56_57155,CFP56_18234,coexpressed_with
CFP56_57155,CFP56_04895,coexpressed_with
CFP56_63844,CFP56_66243,coexpressed_with
CFP56_18450,CFP56_66243,coexpressed_with
CFP56_63844,CFP56_67904,coexpressed_with
CFP56_18450,CFP56_67904,coexpressed_with
CFP56_63844,CFP56_18234,coexpressed_with
CFP56_46583,CFP56_67904,coexpressed_with
CFP56_46583,CFP56_55251,coexpressed_with
CFP56_15516,CFP56_71489,coexpressed_with
CFP56_15516,CFP56_55251,coexpressed_with
CFP56_15516,CFP56_35174,coexpressed_with
CFP56_15516,CFP56_26612,coexpressed_with
CFP56_79658,CFP56_67904,coexpressed_with
CFP56_45261,CFP56_66243,coexpressed_with
CFP56_45261,CFP56_45262,coexpressed_with
CFP56_45261,CFP56_15101,coexpressed_with
CFP56_45261,CFP56_67904,coexpressed_with
CFP56_45261,CFP56_18927,coexpressed_with
CFP56_45261,CFP56_60036,coexpressed_with
CFP56_79658,CFP56_18234,coexpressed_with
CFP56_66372,CFP56_66243,coexpressed_with
CFP56_60021,CFP56_67904,coexpressed_with
CFP56_65351,CFP56_66243,coexpressed_with
CFP56_65351,CFP56_71489,coexpressed_with
CFP56_65351,CFP56_54330,coexpressed_with
CFP56_73035,CFP56_66243,coexpressed_with
CFP56_65351,CFP56_67904,coexpressed_with
CFP56_65351,CFP56_42284,coexpressed_with
CFP56_34398,CFP56_66243,coexpressed_with
CFP56_34398,CFP56_68056,coexpressed_with
CFP56_34398,CFP56_55251,coexpressed_with
CFP56_34398,CFP56_67904,coexpressed_with
CFP56_34398,CFP56_15101,coexpressed_with
CFP56_34398,CFP56_61898,coexpressed_with
CFP56_34398,CFP56_60036,coexpressed_with
CFP56_34398,CFP56_04895,coexpressed_with
CFP56_34398,CFP56_18927,coexpressed_with
CFP56_48596,CFP56_67904,coexpressed_with
CFP56_47378,CFP56_66243,coexpressed_with
CFP56_48596,CFP56_18234,coexpressed_with
CFP56_50627,CFP56_55251,coexpressed_with
CFP56_38566,CFP56_55251,coexpressed_with
CFP56_04669,CFP56_23543,coexpressed_with
CFP56_38566,CFP56_67904,coexpressed_with
CFP56_04669,CFP56_45508,coexpressed_with
CFP56_38566,CFP56_18234,coexpressed_with
CFP56_04669,CFP56_66243,coexpressed_with
CFP56_04669,CFP56_60036,coexpressed_with
CFP56_19124,CFP56_67904,coexpressed_with
CFP56_19124,CFP56_55251,coexpressed_with
CFP56_19124,CFP56_18234,coexpressed_with
CFP56_51584,CFP56_61563,coexpressed_with
CFP56_51584,CFP56_05273,coexpressed_with
CFP56_51584,CFP56_67904,coexpressed_with
CFP56_51584,CFP56_15101,coexpressed_with
CFP56_51584,CFP56_55251,coexpressed_with
CFP56_51584,CFP56_18927,coexpressed_with
CFP56_51584,CFP56_60036,coexpressed_with
CFP56_51584,CFP56_18234,coexpressed_with
CFP56_24943,CFP56_33180,coexpressed_with
CFP56_24943,CFP56_23543,coexpressed_with
CFP56_24943,CFP56_36906,coexpressed_with
CFP56_24943,CFP56_68056,coexpressed_with
CFP56_24943,CFP56_04792,coexpressed_with
CFP56_24943,CFP56_23309,coexpressed_with
CFP56_24943,CFP56_66243,coexpressed_with
CFP56_24943,CFP56_61563,coexpressed_with
CFP56_24943,CFP56_35174,coexpressed_with
CFP56_24943,CFP56_55251,coexpressed_with
CFP56_24943,CFP56_67904,coexpressed_with
CFP56_24943,CFP56_15101,coexpressed_with
CFP56_24943,CFP56_61898,coexpressed_with
CFP56_24943,CFP56_60036,coexpressed_with
CFP56_24943,CFP56_18927,coexpressed_with
CFP56_24943,CFP56_12753,coexpressed_with
CFP56_24943,CFP56_18234,coexpressed_with
CFP56_24943,CFP56_04895,coexpressed_with
CFP56_07147,CFP56_04792,coexpressed_with
CFP56_07147,CFP56_67904,coexpressed_with
CFP56_07147,CFP56_66243,coexpressed_with
CFP56_07147,CFP56_55251,coexpressed_with
CFP56_07147,CFP56_05273,coexpressed_with
CFP56_07147,CFP56_15101,coexpressed_with
CFP56_07147,CFP56_18927,coexpressed_with
CFP56_07147,CFP56_45004,coexpressed_with
CFP56_23532,CFP56_67904,coexpressed_with
CFP56_24670,CFP56_66243,coexpressed_with
CFP56_24732,CFP56_67904,coexpressed_with
CFP56_24732,CFP56_18234,coexpressed_with
CFP56_33269,CFP56_66243,coexpressed_with
CFP56_33269,CFP56_55251,coexpressed_with
CFP56_45155,CFP56_36906,coexpressed_with
CFP56_45155,CFP56_44070,coexpressed_with
CFP56_45155,CFP56_49077,coexpressed_with
CFP56_45155,CFP56_15393,coexpressed_with
CFP56_45155,CFP56_46162,coexpressed_with
CFP56_45155,CFP56_66906,coexpressed_with
CFP56_45155,CFP56_23543,coexpressed_with
CFP56_45155,CFP56_45262,coexpressed_with
CFP56_45155,CFP56_68056,coexpressed_with
CFP56_45155,CFP56_46579,coexpressed_with
CFP56_45155,CFP56_17691,coexpressed_with
CFP56_45155,CFP56_43625,coexpressed_with
CFP56_45155,CFP56_23309,coexpressed_with
